course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Engaging the Media,DPI 891M,Talev,"Understanding how the news media works – and how to work with it -- is more complicated today than ever. But it’s essential for people of goodwill who have made the decision to enter careers in public service and seek to have a major impact in the U.S. or globally. You may have heard, “Don’t trust the media,” but whether you’re in politics, policy, advocacy or the non-profit world, you avoid the media at your peril or at least at a big opportunity cost. In thi",Spring 2,F,12:00pm - 2:45pm,"Talev, Margaret",4.725,3.145,0.290333333333333,-0.157333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 891M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Regulation of International Finance,BGP 631,Tarullo,"This course will examine international arrangements for the regulation of finance. Arrangements covered include the International Monetary Fund, the Financial Stability Board, the Basel Committee on Banking Supervision, the International Organization of Securities Commissions, the European Union, and the General Agreement on Trade in Services within the World Trade Organization. Specific substantive topics will be chosen to illustrate their activities. We will consider the substantial difference",Full Term,M/T,1:30pm - 3:00pm,"Tarullo, Daniel",4.9,3.2,0.465333333333334,-0.102333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 631(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Political Economy and Its Future,DEV 233,Unger,"The world’s economic and political order reels under mounting challenges that predate the Covid pandemic, and have deepened in its aftermath: climate change, global financial fragility, the austerity debacle, a slowdown in economic growth and productivity, the aggravation of inequality and the inadequacy of conventional responses to it, the discrediting of the Washington Consensus, the globalization backlash, the re-emergence of nationalist politics in Europe and the United States, and a c",Full Term,M/W,1:00pm - 3:00pm,"Unger, Roberto Mangabeira",4.4557142857142855,2.442857142857143,0.0210476190476188,-0.85947619047619,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 233(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Progressive Alternatives: Institutional Reconstruction Now,DPI 348,Unger,"An exploration of the past and future agenda of progressives, whether self-described as liberals or as leftists. What should they propose, now that they no longer believe in the usefulness of governmental direction of the economy or in the sufficiency of redistributive social programs? A basic concern is the relation of programmatic thought to the understanding of change and constraint.In the recent historical period, progressives have sought to humanize the established order rather than to reim",Full Term,W,1:00pm - 3:00pm,"Unger, Roberto Mangabeira",4.4557142857142855,2.442857142857143,0.0210476190476188,-0.85947619047619,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 348(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"The Internet: What It Is, How Did It Happen, and What Could It Become?",DPI 664M,Waldo,"The Internet has become a core technology around the world for communication, business, defense, and government. It is a technology that seemingly knows no borders, is governed by no one, and has allowed disruptions of businesses, revolutionized telecommunications, and is the center of debates around free speech, disinformation, and the ability of people to organize and resist oppression. The Internet is also a technology that very few people, and almost no policy makers, understand. As governme",Spring 1,M,4:30pm - 7:15pm,"Waldo, James",4.747000000000001,3.0200000000000005,0.312333333333334,-0.282333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 664M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
International and Global Affairs: Concepts and Applications,IGA 100,"Walt, Stephen","This course is a wide-ranging introduction to the core principles of international and global affairs. Introductory sessions will cover a variety of concepts and theories of international relations and global governance and the challenges of policy analysis in these domains. Subsequent weeks will apply these ideas to diverse set of policy problems reflecting the current agendas of professionals working in international and global affairs. The course also emphasizes skill development, throug",Full Term,M/W,3:00pm - 4:15pm,"Walt, Stephen",4.61952380952381,3.1733333333333342,0.184857142857143,-0.128999999999999,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 100(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
What's Wrong with U.S. Foreign Policy?,IGA 219M,"Walt, Stephen","This module offers a critical examination of U.S. foreign policy since the end of the Cold War.  It considers: 1) the nature of the U.S. foreign policy establishment,  2)  the U.S. decision to pursue an ambitious grand strategy of “liberal hegemony” during the Clinton, Bush, and Obama administrations,  2) why that policy persisted despite repeated failures, 4) why the Trump administration’s efforts to alter this policy were unsuccessful, and 4) what the Bide",Spring 1,M/W,10:30am - 11:45am,"Walt, Stephen",4.61952380952381,3.1733333333333342,0.184857142857143,-0.128999999999999,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 219M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Second-Year Policy Analysis Seminar (spring),DEV 250Y C,"Walton, Michael","This is a required second-year paper for students in the MPA/ID program, aimed at integrating course work through the application of analytic tools to a policy and institutional problem. The goal is to produce recommendations for policymakers that are technically rigorous, practical, and politically relevant. Students will work with seminar leaders and faculty advisors to conceptualize policy and institutional problems for a client. Some students establish a real relationship with a client, but",Full Term,Th,3:00pm - 4:15pm,"Walton, Michael",4.175,3.9407142857142863,-0.259666666666667,0.638380952380953,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 250Y C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Innovation and Justice: Developing New School and Community Strategies that Strengthen Children,SUP 425M,Weissbourd,"How can we develop more effective interventions for at-risk children? This module will address this question with a focus on children in poverty and children suffering social and emotional risks. Students' primary work will be to develop a proposal for an intervention that they will then present to Boston and Cambridge city leaders and city leaders from other nearby towns. Students may select an intervention designed to improve students' academic performance, to reduce children's soc",January,TBA,- TBA,"Weissbourd, Richard",4.33,2.94,-0.104666666666667,-0.362333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 425M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Environmental Politics: Persuasion, Advocacy and Negotiation",IGA 455,Wentworth,"The world is on fire. Smoke darkens the sky. Scorching heat. Violent storms. Mass extinction.In this perilous moment in human history, the world desperately needs leaders with the courage, drive and hardball political skills to fight climate change and help restore the natural world. Environmental leaders must also recognize how marginalized communities suffer disproportionately from pollution and climate change. Leadership is difficult in any enterprise, but it is especially difficult for",Full Term,M/W,12:00pm - 1:15pm,"Wentworth, Rand",4.796666666666667,3.296666666666667,0.362,-0.0056666666666664,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 455(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Negotiation and Leadership: Essential Theory and Practice for Enhancing Your Personal Effectiveness,MLD 215 B,Wilkinson,"Negotiation and leadership are essential, ongoing processes that form part of our everyday lives, in whatever area of work you are involved in, regardless of your seniority,  whether we are the most senior or junior person in the team.  These are skills that we can study, practice and improve upon, and will be absolutely indispensable for any effective leader in any field. This course will provide students with the fundamental principles, theory and practice of the field of negotiation",Full Term,T/Th,10:30am - 11:45am,"Wilkinson, Robert",4.373571428571429,2.8921428571428573,-0.0610952380952377,-0.410190476190476,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 215 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Seminar: Social and Urban Policy (spring),SUP 150Y,"Wilson, Julie Boatright","This seminar is designed to support MPP-2 students writing their Policy Analysis Exercise in the areas of social and urban policy.  The course is structured to support students as they identify the topic on which they will focus, clarify the problem they will be addressing, develop a strategy to gather information to address the problem, analyze their findings, develop recommendations, and produce the final product.  Over the fall we will focus the class sessions on gaining an understa",Full Term,Th,3:00pm - 4:15pm,"Wilson, Julie Boatright",4.456666666666667,3.404583333333333,0.0220000000000002,0.10225,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 150Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Social Institutions and Economic Development,DEV 308,Woolcock,"Most people for most of history have depended upon various types of social institutions -- i.e. kinship systems, community organizations, and social networks -- as their primarily resource for both survival (""getting by"") and mobility (""getting ahead""). Social institutions are also a central basis of identity, meaning, and aspiration, even as they can be altered by the development process in quite contentious ways; as such, the broader policy challenge remains one of discerni",Full Term,F,1:00pm - 4:00pm,"Woolcock, Michael",4.223333333333333,3.451111111111111,-0.211333333333334,0.148777777777778,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 308(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Digital Government,DPI 662M B,Worthington,"Intended for those interested in public policy and service delivery, this course provides a broad overview of emerging opportunities, challenges and risks created by information technology in the public sector. Interested students can select among the following three options (credits vary):Section A: Michael Flowers: Foundations of Digital Government (Fall; 4.0 credits). This course provides a pragmatic overview of the emerging opportunities, challenges and risks created by public sector use of",Spring 1,F,1:30pm - 3:30pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 662M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Strategy and Decision,MLD 113M,Zimmerman,"Strategy is expressed in the decisions we make every day. There are no choices or actions that are truly neutral with respect to one’s strategic purpose.  Yet few decisions come labelled as “strategic”; instead policy makers, analysts and managers face an unending stream of judgments and choices that arrive in varied frames from every imaginable direction.No decision stands alone. Today’s decisions are linked undeniably to decisions in the past reflected in the exper",Spring 2,M/W,9:00am - 10:15am,"Zimmerman, Peter",3.773333333333334,3.069333333333333,-0.661333333333333,-0.233,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 113M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
